UHF_id,ParticipantCount,mean_td_score,median_td_score,sd_td_score,mean_ag_score,median_ag_score,sd_ag_score,mean_los_score,median_los_score,sd_los_score,mode_td,mode_ag,mode_los
104,72,68.49,68.75,22.01,62.85,61.76,16,66.44,66.67,21.21,67.42462027230275,61.950694901887935,52.00516246210207
105,76,71.13,68.75,20.79,62.36,64.71,16.75,65.13,66.67,25.12,68.72407378659913,65.25698088640385,51.990560724206816
205,58,57.33,62.5,20.65,64.17,64.71,16.34,62.36,58.34,21.07,67.08082288162063,64.29171092785325,50.34618090501126
207,105,67.2,68.75,19.55,62.34,63.24,17.6,62.22,66.67,21.47,67.8631400707277,64.24101416209784,50.99794556781878
208,107,67.7,68.75,19.42,62.03,63.24,12.98,65.58,66.67,22.58,68.29758294177637,65.711137119899945,66.35149712772866
211,79,67.64,68.75,21.85,62.04,61.76,14.44,64.56,66.67,23.32,67.02420360746794,63.36200357393939,52.23910112074488
301,18,66.67,65.62,20.78,62.09,64.71,15.09,59.26,66.67,26.95,61.285076546172874,67.91154292276752,63.800609068396305
303,109,71.22,68.75,19.06,66.74,67.65,17.72,59.48,50,23.28,68.69043303346714,65.58727603149609,50.43794580074317
304,142,65.23,68.75,18.88,66.37,67.65,15.18,60.56,58.34,20.86,67.2164595775574,66.55688798269651,49.966367584387434
306,36,59.03,62.5,18.87,63.6,61.02,18.18,56.02,50,26.47,65.37418584028214,60.83836798729496,50.413919328618995
309,148,65.5,68.75,16.33,70.26,73.53,17.44,53.6,50,19.69,68.67435776733603,81.26775354603923,50.122042118340154
310,52,65.14,62.5,18.66,61.93,62.5,20.1,51.6,50,20.94,66.10112462615346,64.24800383531628,50.148055210119864
401,39,56.25,56.25,24.88,58.11,57.35,14.55,64.1,66.67,24.94,65.2485300664873,56.61092900560251,74.63453380810878
405,43,54.36,56.25,20.35,61.77,63.24,13.44,58.92,66.67,24.22,43.86912164847766,65.90893366993693,52.31915240070406
407,23,61.14,68.75,24.78,64.07,66.18,14.57,65.22,66.67,21.27,64.92291001760194,69.19941004432462,68.95198770858573
408,47,66.89,68.75,21.84,60.29,61.76,12.29,64.89,66.67,23.37,66.99969829559214,66.02436128417096,52.32538992973071
501,22,63.64,62.5,18.76,63.84,61.76,13.12,62.88,66.67,20.53,60.20120317561263,61.060998156849124,70.0834653676961
502,35,68.57,68.75,17.9,58.19,61.76,17.39,61.9,66.67,20.44,68.31386018085433,64.33975879174575,52.74717240808317
