UHF_id,median_td_score_slr,median_ag_score_slr,median_los_score_slr,median_td_score_gwr,median_ag_score_gwr,median_los_score_gwr
101,62.89,68.81,66.36,62.24,68.11,63.88
102,66.17,64.39,64.6,62.22,68.11,63.87
103,69.56,57.46,68.62,62.21,68.11,63.87
104,67.42,61.95,67.42,67.42,61.95,67.42
105,68.72,65.26,68.72,68.72,65.26,68.72
106,74.21,61.64,72.11,62.06,68.11,63.84
107,69.5,61.2,71.44,62.3,68.12,63.89
201,62.83,66.71,64.7,68.24,66.78,68.55
202,71.98,71.51,67.99,68.27,66.78,68.55
203,69.63,63.93,67.48,68.29,66.78,68.55
204,78.3,66.9,70.75,68.35,66.78,68.56
205,67.08,64.29,67.08,67.08,64.29,67.08
206,67.28,77.69,69.51,65.81,71.41,65.74
207,67.86,64.24,67.86,67.86,64.24,67.86
208,68.3,65.71,68.3,68.3,65.71,68.3
209,58.42,70.29,62.72,63.66,58.86,62.64
210,58.95,76.16,65.4,66.06,74.14,65.87
211,67.02,63.36,67.02,67.02,63.36,67.02
301,61.29,67.91,61.29,61.29,67.91,61.29
302,72.96,68.17,69.33,66.18,64.18,66.27
303,68.69,65.59,68.69,68.69,65.59,68.69
304,67.22,66.56,67.22,67.22,66.56,67.22
305,63.01,68.14,65.29,66.25,64.18,66.28
306,65.37,60.84,65.37,65.37,60.84,65.37
307,65.92,62.35,65.04,61.21,60.06,61.22
308,60.3,75.28,64.94,58.43,64.94,61.16
309,68.67,81.27,68.67,68.67,81.27,68.67
310,66.1,64.25,66.1,66.1,64.25,66.1
401,65.25,56.61,65.25,65.25,56.61,65.25
402,57.96,63.09,60.4,64.38,67.2,63.41
403,44.76,57.22,56.73,64.35,67.2,63.4
404,50.69,68.25,59.27,64.33,67.2,63.4
405,43.87,65.91,43.87,43.87,65.91,43.87
406,58.87,69.01,63.27,64.01,67.2,63.38
407,64.92,69.2,64.92,64.92,69.2,64.92
408,67,66.02,67,67,66.02,67
409,65.56,70.25,61.18,66.04,68.21,64.69
410,63.51,69.88,67.54,65.59,68.21,64.64
501,60.2,61.06,60.2,60.2,61.06,60.2
502,68.31,64.34,68.31,68.31,64.34,68.31
503,63.43,73.07,64.62,64.28,63.06,67.11
504,67.37,65.52,64.58,64.27,64.5,65.97
