UHF_id,UHF_name,ParticipantCount
101,Kingsbridge - Riverdale,2
102,Northeast Bronx,7
103,Fordham - Bronx Pk,10
104,Pelham - Throgs Neck,72
105,Crotona -Tremont,76
106,High Bridge - Morrisania,7
107,Hunts Point - Mott Haven,6
201,Greenpoint,1
202,Downtown - Heights - Slope,8
203,Bedford Stuyvesant - Crown Heights,10
204,East New York,9
205,Sunset Park,58
206,Borough Park,3
207,East Flatbush - Flatbush,105
208,Canarsie - Flatlands,107
209,Bensonhurst - Bay Ridge,8
210,Coney Island - Sheepshead Bay,7
211,Williamsburg - Bushwick,79
301,Washington Heights,18
302,Central Harlem - Morningside Heights,7
303,East Harlem,109
304,Upper West Side,142
305,Upper East Side,8
306,Chelsea - Clinton,36
307,Gramercy Park - Murray Hill,7
308,Greenwich Village - SoHo,13
309,Union Square - Lower East Side,148
310,Lower Manhattan,52
401,Long Island City - Astoria,39
402,West Queens,3
403,Flushing - Clearview,1
405,Ridgewood - Forest Hills,43
406,Fresh Meadows,1
407,Southwest Queens,23
408,Jamaica,47
409,Southeast Queens,3
410,Rockaways,7
501,Port Richmond,22
502,Stapleton - St. George,35
503,Willowbrook,2
504,South Beach - Tottenville,3
